date_id;jour;mois;annee;trimestre;nom_mois
31.05.2026;31;5;2026;T2;Mai
01.06.2026;1;6;2026;T2;Juni
02.06.2026;2;6;2026;T2;Juni
03.06.2026;3;6;2026;T2;Juni
04.06.2026;4;6;2026;T2;Juni
05.06.2026;5;6;2026;T2;Juni
06.06.2026;6;6;2026;T2;Juni
07.06.2026;7;6;2026;T2;Juni
08.06.2026;8;6;2026;T2;Juni
09.06.2026;9;6;2026;T2;Juni
10.06.2026;10;6;2026;T2;Juni
11.06.2026;11;6;2026;T2;Juni
12.06.2026;12;6;2026;T2;Juni
13.06.2026;13;6;2026;T2;Juni
14.06.2026;14;6;2026;T2;Juni
15.06.2026;15;6;2026;T2;Juni
16.06.2026;16;6;2026;T2;Juni
17.06.2026;17;6;2026;T2;Juni
18.06.2026;18;6;2026;T2;Juni
19.06.2026;19;6;2026;T2;Juni
20.06.2026;20;6;2026;T2;Juni
21.06.2026;21;6;2026;T2;Juni
22.06.2026;22;6;2026;T2;Juni
23.06.2026;23;6;2026;T2;Juni
24.06.2026;24;6;2026;T2;Juni
25.06.2026;25;6;2026;T2;Juni
26.06.2026;26;6;2026;T2;Juni
27.06.2026;27;6;2026;T2;Juni
28.06.2026;28;6;2026;T2;Juni
29.06.2026;29;6;2026;T2;Juni
30.06.2026;30;6;2026;T2;Juni
01.07.2026;1;7;2026;T3;Juli
